year,,,agtemL,London,,,AgtemG,Global
1750,,,8.34,,,,8.72,
1751,,,8.84,,,,7.98,
1752,,,1.64,,,,5.78,
1753,,,7.87,,,,8.39,
1754,,,8.15,,,,8.47,
1755,,,5.12,,,,8.36,
1756,,,8.59,,,,8.85,
1757,,,7.29,,,,9.02,
1758,,,6.47,,,,6.74,
1759,,,7.39,6.97,,,7.99,8.03
1760,,,5.97,6.733,,,7.19,7.877
1761,,,8.36,6.685,,,8.77,7.956
1762,,,7.85,7.306,,,8.61,8.239
1763,,,5.54,7.073,,,7.5,8.15
1764,,,8.03,7.061,,,8.4,8.143
1765,,,7.37,7.286,,,8.25,8.132
1766,,,8.38,7.265,,,8.41,8.088
1767,,,6.97,7.233,,,8.22,8.008
1768,,,6.89,7.275,,,6.78,8.012
1769,,,7.54,7.29,,,7.69,7.982
1770,,,7.44,7.437,,,7.69,8.032
1771,,,8.41,7.442,,,7.85,7.94
1772,,,8.05,7.462,,,8.19,7.898
1773,,,8.34,7.742,,,8.22,7.97
1774,,,7.86,7.725,,,8.77,8.007
1775,,,8.73,7.861,,,9.18,8.1
1776,,,7.84,7.807,,,8.3,8.089
1777,,,7.32,7.842,,,8.26,8.093
1778,,,5.54,7.707,,,8.54,8.269
1779,,,8.25,7.778,,,8.98,8.398
1780,,,10.54,8.088,,,9.43,8.572
1781,,,8.07,8.054,,,8.1,8.597
1782,,,7.51,8,,,7.9,8.568
1783,,,7.22,7.888,,,7.68,8.514
1784,,,7,7.802,,,7.86,8.423
1785,,,6.94,7.623,,,7.36,8.241
1786,,,7.46,7.585,,,8.26,8.237
1787,,,7.47,7.6,,,8.03,8.214
1788,,,8.12,7.858,,,8.45,8.205
1789,,,7.82,7.815,,,8.33,8.14
1790,,,7.75,7.536,,,7.98,7.995
1791,,,7.84,7.513,,,8.23,8.008
1792,,,7.26,7.488,,,8.09,8.027
1793,,,8.13,7.579,,,8.23,8.082
1794,,,8.16,7.695,,,8.53,8.149
1795,,,7.71,7.772,,,8.35,8.248
1796,,,7.56,7.782,,,8.27,8.249
1797,,,7.33,7.768,,,8.51,8.297
1798,,,8.18,7.774,,,8.67,8.319
1799,,,7.76,7.768,,,8.51,8.337
1800,,,7.92,7.785,,,8.48,8.387
1801,,,8.31,7.832,,,8.59,8.423
1802,,,8.56,7.962,,,8.58,8.472
1803,,,8.37,7.986,,,8.5,8.499
1804,,,8.15,7.985,,,8.84,8.53
1805,,,8.62,8.076,,,8.56,8.551
1806,,,7.82,8.102,,,8.43,8.567
1807,,,7.61,8.13,,,8.28,8.544
1808,,,7.79,8.091,,,7.63,8.44
1809,,,7.03,8.018,,,7.08,8.297
1810,,,7.37,7.963,,,6.92,8.141
1811,,,7.49,7.881,,,6.86,7.968
1812,,,6.13,7.638,,,7.05,7.815
1813,,,7.41,7.542,,,7.74,7.739
1814,,,7.24,7.451,,,7.59,7.614
1815,,,6.65,7.254,,,7.24,7.482
1816,,,6.16,7.088,,,6.94,7.333
1817,,,6.25,6.952,,,6.98,7.203
1818,,,6.9,6.863,,,7.83,7.223
1819,,,7.21,6.881,,,7.37,7.252
1820,,,7.22,6.866,,,7.62,7.322
1821,,,6.91,6.808,,,8.09,7.445
1822,,,7.88,6.983,,,8.19,7.559
1823,,,7.11,6.953,,,7.72,7.557
1824,,,7.55,6.984,,,8.55,7.653
1825,,,8.59,7.178,,,8.39,7.768
1826,,,8.37,7.399,,,8.36,7.91
1827,,,8.21,7.595,,,8.81,8.093
1828,,,9.08,7.813,,,8.17,8.127
1829,,,7.63,7.855,,,7.94,8.184
1830,,,8.47,7.98,,,8.52,8.274
1831,,,7,7.989,,,7.64,8.229
1832,,,8.07,8.008,,,7.45,8.155
1833,,,8.06,8.103,,,8.01,8.184
1834,,,8.36,8.184,,,8.15,8.144
1835,,,7.43,8.068,,,7.39,8.044
1836,,,6.42,7.873,,,7.7,7.978
1837,,,7.16,7.768,,,7.38,7.835
1838,,,6.71,7.531,,,7.51,7.769
1839,,,7.74,7.542,,,7.63,7.738
1840,,,8.05,7.5,,,7.8,7.666
1841,,,7.46,7.546,,,7.69,7.671
1842,,,7.97,7.536,,,8.02,7.728
1843,,,7,7.43,,,8.17,7.744
1844,,,8.13,7.407,,,7.65,7.694
1845,,,8.17,7.481,,,7.85,7.74
1846,,,8.58,7.697,,,8.55,7.825
1847,,,7.28,7.709,,,8.09,7.896
1848,,,7.86,7.824,,,7.98,7.943
1849,,,7.43,7.793,,,7.98,7.978
1850,,,7.65,7.753,,,7.9,7.988
1851,,,7.73,7.78,,,8.18,8.037
1852,,,7.46,7.729,,,8.1,8.045
1853,,,8.05,7.834,,,8.04,8.032
1854,,,8.31,7.852,,,8.21,8.088
1855,,,7.39,7.774,,,8.11,8.114
1856,,,6.35,7.551,,,8,8.059
1857,,,6.74,7.497,,,7.76,8.026
1858,,,8.16,7.527,,,8.1,8.038
1859,,,7.8,7.564,,,8.25,8.065
1860,,,7.72,7.571,,,7.96,8.071
1861,,,7.69,7.567,,,7.85,8.038
1862,,,7.48,7.569,,,7.56,7.984
1863,,,7.51,7.515,,,8.11,7.991
1864,,,7.46,7.43,,,7.98,7.968
1865,,,7.89,7.48,,,8.18,7.975
1866,,,6.93,7.538,,,8.29,8.004
1867,,,7.17,7.581,,,8.44,8.072
1868,,,6.68,7.433,,,8.25,8.087
1869,,,6.81,7.334,,,8.43,8.105
1870,,,8.33,7.395,,,8.2,8.129
1871,,,7.56,7.382,,,8.12,8.156
1872,,,6.78,7.312,,,8.19,8.219
1873,,,6.92,7.253,,,8.35,8.243
1874,,,7.84,7.291,,,8.43,8.288
1875,,,5.69,7.071,,,7.86,8.256
1876,,,7.48,7.126,,,8.08,8.235
1877,,,8.48,7.257,,,8.54,8.245
1878,,,8.94,7.483,,,8.83,8.303
1879,,,7.68,7.57,,,8.17,8.277
1880,,,8.45,7.582,,,8.12,8.269
1881,,,8.45,7.671,,,8.27,8.284
1882,,,8.06,7.799,,,8.13,8.278
1883,,,6.5,7.757,,,7.98,8.241
1884,,,7.46,7.719,,,7.77,8.175
1885,,,6.04,7.754,,,7.92,8.181
1886,,,7.25,7.731,,,7.95,8.168
1887,,,7.59,7.642,,,7.91,8.105
1888,,,6.68,7.416,,,8.09,8.031
1889,,,7.97,7.445,,,8.32,8.046
1890,,,8.06,7.406,,,7.97,8.031
1891,,,8.3,7.391,,,8.02,8.006
1892,,,7.43,7.328,,,8.07,8
1893,,,7.01,7.379,,,8.06,8.008
1894,,,8.65,7.498,,,8.16,8.047
1895,,,7.08,7.602,,,8.15,8.07
1896,,,7.99,7.676,,,8.21,8.096
1897,,,7.95,7.712,,,8.29,8.134
1898,,,8.66,7.91,,,8.18,8.143
1899,,,8.04,7.917,,,8.4,8.151
1900,,,8.53,7.964,,,8.5,8.204
1901,,,7.67,7.901,,,8.54,8.256
1902,,,7.76,7.934,,,8.3,8.279
1903,,,7.74,8.007,,,8.22,8.295
1904,,,6.22,7.764,,,8.09,8.288
1905,,,7.34,7.79,,,8.23,8.296
1906,,,8.38,7.829,,,8.38,8.313
1907,,,6.92,7.726,,,7.95,8.279
1908,,,8.3,7.69,,,8.19,8.28
1909,,,7.92,7.678,,,8.18,8.258
1910,,,7.73,7.598,,,8.22,8.23
1911,,,8.62,7.693,,,8.18,8.194
1912,,,7.01,7.618,,,8.17,8.181
1913,,,8.59,7.703,,,8.3,8.189
1914,,,7.65,7.846,,,8.59,8.239
1915,,,7.85,7.897,,,8.59,8.275
1916,,,7.75,7.834,,,8.23,8.26
1917,,,5.96,7.738,,,8.02,8.267
1918,,,7.8,7.688,,,8.13,8.261
1919,,,8.66,7.762,,,8.38,8.281
1920,,,7.43,7.732,,,8.36,8.295
1921,,,9.75,7.845,,,8.57,8.334
1922,,,8.62,8.006,,,8.41,8.358
1923,,,7.74,7.921,,,8.42,8.37
1924,,,6.79,7.835,,,8.51,8.362
1925,,,7.7,7.82,,,8.53,8.356
1926,,,6.77,7.722,,,8.73,8.406
1927,,,8.27,7.953,,,8.52,8.456
1928,,,7.97,7.97,,,8.63,8.506
1929,,,7.6,7.864,,,8.24,8.492
1930,,,8.45,7.966,,,8.63,8.519
1931,,,9.59,7.95,,,8.72,8.534
1932,,,8.66,7.954,,,8.71,8.564
1933,,,8.93,8.073,,,8.34,8.556
1934,,,7.9,8.184,,,8.63,8.568
1935,,,7.72,8.186,,,8.52,8.567
1936,,,7.82,8.291,,,8.55,8.549
1937,,,8.15,8.279,,,8.7,8.567
1938,,,8.96,8.378,,,8.86,8.59
1939,,,8.58,8.476,,,8.76,8.642
1940,,,7.16,8.347,,,8.76,8.655
1941,,,9,8.288,,,8.77,8.66
1942,,,8.33,8.255,,,8.73,8.662
1943,,,7.51,8.113,,,8.76,8.704
1944,,,8.5,8.173,,,8.85,8.726
1945,,,7.91,8.192,,,8.58,8.732
1946,,,9.07,8.317,,,8.68,8.745
1947,,,8.21,8.323,,,8.8,8.755
1948,,,8.27,8.254,,,8.75,8.744
1949,,,9.52,8.348,,,8.59,8.727
1950,,,7.67,8.399,,,8.37,8.688
1951,,,8.15,8.314,,,8.63,8.674
1952,,,8.94,8.375,,,8.64,8.665
1953,,,9.39,8.563,,,8.87,8.676
1954,,,8.55,8.568,,,8.56,8.647
1955,,,9.06,8.683,,,8.63,8.652
1956,,,8.12,8.588,,,8.28,8.612
1957,,,8.41,8.608,,,8.73,8.605
1958,,,7.6,8.541,,,8.77,8.607
1959,,,8.66,8.455,,,8.73,8.621
1960,,,7.92,8.48,,,8.58,8.642
1961,,,8.41,8.506,,,8.8,8.659
1962,,,7.88,8.4,,,8.75,8.67
1963,,,7.46,8.207,,,8.86,8.669
1964,,,8.5,8.202,,,8.41,8.654
1965,,,7.9,8.086,,,8.53,8.644
1966,,,7.93,8.067,,,8.6,8.676
1967,,,7.84,8.01,,,8.7,8.673
1968,,,8.11,8.061,,,8.52,8.648
1969,,,8.11,8.006,,,8.6,8.635
1970,,,8.29,8.043,,,8.7,8.647
1971,,,8.52,8.054,,,8.6,8.627
1972,,,7.55,8.021,,,8.5,8.602
1973,,,9.3,8.205,,,8.95,8.611
1974,,,8.09,8.164,,,8.47,8.617
1975,,,8.8,8.254,,,8.74,8.638
1976,,,7.51,8.212,,,8.35,8.613
1977,,,8.17,8.245,,,8.85,8.628
1978,,,7.2,8.154,,,8.69,8.645
1979,,,7.75,8.118,,,8.73,8.658
1980,,,7.61,8.05,,,8.98,8.686
1981,,,8.12,8.01,,,9.17,8.743
1982,,,8.13,8.068,,,8.64,8.757
1983,,,8.81,8.019,,,9.03,8.765
1984,,,8.37,8.047,,,8.69,8.787
1985,,,8.37,8.004,,,8.66,8.779
1986,,,8.59,8.112,,,8.83,8.827
1987,,,9.35,8.23,,,8.99,8.841
1988,,,8.58,8.368,,,9.2,8.892
1989,,,7.84,8.377,,,8.92,8.911
1990,,,9.48,8.564,,,9.23,8.936
1991,,,9.72,8.724,,,9.18,8.937
1992,,,8.05,8.716,,,8.84,8.957
1993,,,8.11,8.646,,,8.87,8.941
1994,,,8.11,8.62,,,9.04,8.976
1995,,,8.52,8.635,,,9.35,9.045
1996,,,7.85,8.561,,,9.04,9.066
1997,,,8.09,8.435,,,9.2,9.087
1998,,,10.6,8.637,,,9.52,9.119
1999,,,9.53,8.806,,,9.29,9.156
2000,,,8.67,8.725,,,9.2,9.153
2001,,,9.63,8.716,,,9.41,9.176
2002,,,9.45,8.856,,,9.57,9.249
2003,,,8.12,8.857,,,9.53,9.315
2004,,,8.63,8.909,,,9.32,9.343
2005,,,9.05,8.962,,,9.7,9.378
2006,,,9.83,9.16,,,9.53,9.427
2007,,,9.14,9.265,,,9.73,9.48
2008,,,8.61,9.066,,,9.43,9.471
2009,,,8.38,8.951,,,9.51,9.493
2010,,,9.47,9.031,,,9.7,9.543
2011,,,9.32,9,,,9.52,9.554
2012,,,10.51,9.106,,,9.51,9.548
2013,,,10.11,9.305,,,9.61,9.556
